Device,Test Name,Test Status,Message(s),Test description,Test category
spine3,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
spine3,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
spine3,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
spine3,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
spine3,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
spine3,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
spine3,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
spine3,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
spine3,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
spine3,VerifyCoredump,success,,Verifies there are no core dump files.,System
spine3,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
spine3,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
spine3,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
spine3,VerifyNTP,success,,Verifies if NTP is synchronised.,System
spine3,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
spine4,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
spine4,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
spine4,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
spine4,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
spine4,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
spine4,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
spine4,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
spine4,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
spine4,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
spine4,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
spine4,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
